fish,event,set,troughIn,troughOut,gearDepth,gearType,fl,circ,hookLoc,clip,dna,gill,scaleBook,scaleNumber,pitLeader,pitID,floy,acoustic,acousticType,injury,scaleLoss,finDam,E1,E2,vor,tailGrab,bodyFlex,vent,ori,comment
CK01,CT2019_001,1,910,919,28,spoon,84,50,corner,N,401,CF01,11972,2-Jan,989.0010306,20028,2,7689,V13P,1,1,1,10.9,6.3,0,0,0,0,0,RECAPTURED (see file)
CK02,CT2019_002,2,1002,1006,32,flasher,77,43,corner,N,402,CF02,11972,5-Mar,989.0010306,20046,3,7690,V13P,0,0,1,NA,NA,0,0,0,0,0,fatmeter died
CK03,CT2019_003,3,1035,1039,32,flasher,71,43,corner,N,403,NA,11972,8-Jun,989.0010306,20047,NA,NA,NA,2,0,1,9.8,5.9,0,0,0,0,0,no tag due to bleeding from mouth
CK04,CT2019_007,7,1319,1325,20,flasher,68,44,corner,N,404,CF03,11972,10-Sep,989.0010306,20024,4,7691,V13P,0,1,1,NA,NA,0,0,0,0,0,fatmeter died
CK05,CT2019_007,7,1340,1345,24,spoon,52,30,corner,N,405,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,0,0,0,0,0,forgot to take a lot of data :(
CK06,CT2019_012,12,1605,1611,24,spoon,84,45,corner,N,406,CF04,11972,13-Nov,989.0010306,20005,5,7692,V13P,0,1,1,10.6,7.7,0,0,0,0,0,
CK07,CT2019_013,13,1655,1657,26,flasher,38,23,corner,N,407,NA,NA,NA,989.0010306,19985,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,
CK08,CT2019_015,15,1748,1754,30,flasher,70,42,corner,Y,408,CF05,11972,14-15,989.0010306,20029,6,7693,V13P,0,1,1,8.2,4.4,0,0,0,0,0,
CK09,CT2019_015,15,1757,1802,28,spoon,72,43,corner,N,409,NA,11972,16-17,989.0010306,19968,NA,NA,NA,1,2,1,6.5,5.6,0,0,0,0,0,
CK10,CT2019_016,16,737,742,18,flasher,61,38,corner,Y,410,CF06,11972,18-19,989.0010306,19981,7,7694,V13P,0,0,1,6.2,1.4,0,0,0,0,0,
CK11,CT2019_016,16,750,755,22,flasher,81,44,corner,N,411,CF07,11972,20-22,989.0010306,19996,8,7695,V13P,0,0,1,NA,NA,0,0,0,0,0,fatmeter died
CK12,CT2019_017,17,805,808,22,flasher,65,46,corner,Y,412,NA,11972,23-24,989.0010306,20023,NA,NA,NA,2,2,2,NA,NA,0,0,0,0,0,too beat up to tag; fatmeter died
